"Date";"ID";"Value"
"2019-07-28";"obj_30";NA
"2019-07-29";"obj_30";NA
"2019-07-30";"obj_30";"16,6800000000000"
"2019-07-31";"obj_30";NA
"2019-08-01";"obj_30";NA
"2019-08-02";"obj_30";"16,6400000000000"
"2019-08-03";"obj_30";NA
"2019-08-04";"obj_30";NA
"2019-08-05";"obj_30";"16,6170000000000"
"2019-08-06";"obj_30";NA
"2019-08-07";"obj_30";NA
"2019-08-08";"obj_30";"16,5800000000000"
"2019-08-09";"obj_30";NA
"2019-08-10";"obj_30";NA
"2019-08-11";"obj_30";NA
"2019-08-12";"obj_30";NA
"2019-08-13";"obj_30";NA
"2019-08-14";"obj_30";"16,5700000000000"
"2019-08-15";"obj_30";NA
"2019-08-16";"obj_30";NA
"2019-08-17";"obj_30";NA
"2019-08-18";"obj_30";NA
"2019-08-19";"obj_30";NA
"2019-08-20";"obj_30";NA
"2019-08-21";"obj_30";"16,6100000000000"
"2019-08-22";"obj_30";NA
"2019-08-23";"obj_30";NA
"2019-08-24";"obj_30";NA
"2019-08-25";"obj_30";NA
"2019-08-26";"obj_30";NA
"2019-08-27";"obj_30";"16,6700000000000"
"2019-08-28";"obj_30";NA
"2019-08-29";"obj_30";NA
"2019-08-30";"obj_30";NA
"2019-08-31";"obj_30";NA
"2019-09-01";"obj_30";NA
"2019-09-02";"obj_30";NA
"2019-09-03";"obj_30";"16,7300000000000"
"2019-09-04";"obj_30";NA
"2019-09-05";"obj_30";"16,7400000000000"
"2019-09-06";"obj_30";NA
"2019-09-07";"obj_30";NA
"2019-09-08";"obj_30";NA
"2019-09-09";"obj_30";NA
"2019-09-10";"obj_30";NA
"2019-09-11";"obj_30";"16,7800000000000"
"2019-09-12";"obj_30";NA
"2019-09-13";"obj_30";NA
"2019-09-14";"obj_30";NA
"2019-09-15";"obj_30";NA
"2019-09-16";"obj_30";"16,8300000000000"
"2019-09-17";"obj_30";NA
"2019-09-18";"obj_30";NA
"2019-09-19";"obj_30";NA
"2019-09-20";"obj_30";NA
"2019-09-21";"obj_30";NA
"2019-09-22";"obj_30";NA
"2019-09-23";"obj_30";NA
"2019-09-24";"obj_30";"16,8700000000000"
"2019-09-25";"obj_30";NA
"2019-09-26";"obj_30";NA
"2019-09-27";"obj_30";NA
"2019-09-28";"obj_30";NA
"2019-09-29";"obj_30";NA
"2019-09-30";"obj_30";NA
"2019-10-01";"obj_30";"16,9170000000000"
"2019-10-02";"obj_30";"16,9000000000000"
"2019-10-03";"obj_30";"16,9100000000000"
"2019-10-04";"obj_30";NA
"2019-10-05";"obj_30";NA
"2019-10-06";"obj_30";NA
"2019-10-07";"obj_30";NA
"2019-10-08";"obj_30";NA
"2019-10-09";"obj_30";"16,9400000000000"
"2019-10-10";"obj_30";NA
"2019-10-11";"obj_30";NA
"2019-10-12";"obj_30";NA
"2019-10-13";"obj_30";NA
"2019-10-14";"obj_30";NA
"2019-10-15";"obj_30";NA
"2019-10-16";"obj_30";"16,9600000000000"
"2019-10-17";"obj_30";NA
"2019-10-18";"obj_30";NA
"2019-10-19";"obj_30";NA
"2019-10-20";"obj_30";NA
"2019-10-21";"obj_30";NA
"2019-10-22";"obj_30";"16,9700000000000"
"2019-10-23";"obj_30";NA
"2019-10-24";"obj_30";NA
"2019-10-25";"obj_30";NA
"2019-10-26";"obj_30";NA
"2019-10-27";"obj_30";NA
"2019-10-28";"obj_30";NA
"2019-10-29";"obj_30";"17,0100000000000"
"2019-10-30";"obj_30";NA
"2019-10-31";"obj_30";NA
"2019-11-01";"obj_30";NA
"2019-11-02";"obj_30";NA
"2019-11-03";"obj_30";NA
"2019-11-04";"obj_30";NA
"2019-11-05";"obj_30";"17,0600000000000"
"2019-11-06";"obj_30";NA
"2019-11-07";"obj_30";NA
"2019-11-08";"obj_30";"17,0700000000000"
"2019-11-09";"obj_30";NA
"2019-11-10";"obj_30";NA
"2019-11-11";"obj_30";NA
"2019-11-12";"obj_30";NA
"2019-11-13";"obj_30";NA
"2019-11-14";"obj_30";"17,1000000000000"
"2019-11-15";"obj_30";NA
"2019-11-16";"obj_30";NA
"2019-11-17";"obj_30";NA
"2019-11-18";"obj_30";"17,1000000000000"
"2019-11-19";"obj_30";NA
"2019-11-20";"obj_30";NA
"2019-11-21";"obj_30";NA
"2019-11-22";"obj_30";NA
"2019-11-23";"obj_30";NA
"2019-11-24";"obj_30";NA
"2019-11-25";"obj_30";NA
"2019-11-26";"obj_30";"16,9400000000000"
"2019-11-27";"obj_30";NA
"2019-11-28";"obj_30";NA
"2019-11-29";"obj_30";NA
"2019-11-30";"obj_30";NA
"2019-12-01";"obj_30";NA
"2019-12-02";"obj_30";"17,0900000000000"
"2019-12-03";"obj_30";"17,0800000000000"
"2019-12-04";"obj_30";NA
"2019-12-05";"obj_30";NA
"2019-12-06";"obj_30";NA
"2019-12-07";"obj_30";NA
"2019-12-08";"obj_30";NA
"2019-12-09";"obj_30";"17,1000000000000"
"2019-12-10";"obj_30";NA
"2019-12-11";"obj_30";NA
"2019-12-12";"obj_30";NA
"2019-12-13";"obj_30";NA
"2019-12-14";"obj_30";NA
"2019-12-15";"obj_30";NA
"2019-12-16";"obj_30";"17,1600000000000"
"2019-12-17";"obj_30";NA
"2019-12-18";"obj_30";NA
"2019-12-19";"obj_30";NA
"2019-12-20";"obj_30";NA
"2019-12-21";"obj_30";NA
"2019-12-22";"obj_30";NA
"2019-12-23";"obj_30";NA
"2019-12-24";"obj_30";NA
"2019-12-25";"obj_30";NA
"2019-12-26";"obj_30";NA
"2019-12-27";"obj_30";NA
"2019-12-28";"obj_30";NA
"2019-12-29";"obj_30";NA
"2019-12-30";"obj_30";NA
"2019-12-31";"obj_30";NA
"2020-01-01";"obj_30";NA
"2020-01-02";"obj_30";NA
"2020-01-03";"obj_30";NA
"2020-01-04";"obj_30";NA
"2020-01-05";"obj_30";NA
"2020-01-06";"obj_30";NA
"2020-01-07";"obj_30";NA
"2020-01-08";"obj_30";"17,2200000000000"
"2020-01-09";"obj_30";NA
"2020-01-10";"obj_30";"17,2300000000000"
"2020-01-11";"obj_30";NA
"2020-01-12";"obj_30";NA
"2020-01-13";"obj_30";NA
"2020-01-14";"obj_30";NA
"2020-01-15";"obj_30";"17,2200000000000"
"2020-01-16";"obj_30";NA
"2020-01-17";"obj_30";NA
"2020-01-18";"obj_30";NA
"2020-01-19";"obj_30";NA
"2020-01-20";"obj_30";"17,2500000000000"
"2020-01-21";"obj_30";NA
"2020-01-22";"obj_30";NA
"2020-01-23";"obj_30";NA
"2020-01-24";"obj_30";NA
"2020-01-25";"obj_30";NA
"2020-01-26";"obj_30";NA
"2020-01-27";"obj_30";"17,2100000000000"
"2020-01-28";"obj_30";NA
"2020-01-29";"obj_30";NA
"2020-01-30";"obj_30";NA
"2020-01-31";"obj_30";NA
"2020-02-01";"obj_30";NA
"2020-02-02";"obj_30";NA
"2020-02-03";"obj_30";NA
"2020-02-04";"obj_30";NA
"2020-02-05";"obj_30";"17,2200000000000"
"2020-02-06";"obj_30";NA
"2020-02-07";"obj_30";NA
"2020-02-08";"obj_30";NA
"2020-02-09";"obj_30";NA
"2020-02-10";"obj_30";"17,2000000000000"
"2020-02-11";"obj_30";NA
"2020-02-12";"obj_30";NA
"2020-02-13";"obj_30";NA
"2020-02-14";"obj_30";NA
"2020-02-15";"obj_30";NA
"2020-02-16";"obj_30";NA
"2020-02-17";"obj_30";"17,2200000000000"
"2020-02-18";"obj_30";NA
"2020-02-19";"obj_30";NA
"2020-02-20";"obj_30";"17,2200000000000"
"2020-02-21";"obj_30";NA
"2020-02-22";"obj_30";NA
"2020-02-23";"obj_30";NA
"2020-02-24";"obj_30";"17,2400000000000"
"2020-02-25";"obj_30";NA
"2020-02-26";"obj_30";NA
"2020-02-27";"obj_30";NA
"2020-02-28";"obj_30";NA
"2020-02-29";"obj_30";NA
"2020-03-01";"obj_30";NA
"2020-03-02";"obj_30";NA
"2020-03-03";"obj_30";"17,2600000000000"
"2020-03-04";"obj_30";NA
"2020-03-05";"obj_30";"17,2500000000000"
"2020-03-06";"obj_30";NA
"2020-03-07";"obj_30";NA
"2020-03-08";"obj_30";NA
"2020-03-09";"obj_30";NA
"2020-03-10";"obj_30";"17,2200000000000"
"2020-03-11";"obj_30";NA
"2020-03-12";"obj_30";NA
"2020-03-13";"obj_30";NA
"2020-03-14";"obj_30";NA
"2020-03-15";"obj_30";NA
"2020-03-16";"obj_30";"17,2200000000000"
"2020-03-17";"obj_30";NA
"2020-03-18";"obj_30";NA
"2020-03-19";"obj_30";NA
"2020-03-20";"obj_30";NA
"2020-03-21";"obj_30";NA
"2020-03-22";"obj_30";NA
"2020-03-23";"obj_30";"17,2100000000000"
"2020-03-24";"obj_30";NA
"2020-03-25";"obj_30";NA
"2020-03-26";"obj_30";NA
"2020-03-27";"obj_30";NA
"2020-03-28";"obj_30";NA
"2020-03-29";"obj_30";NA
"2020-03-30";"obj_30";"17,1900000000000"
"2020-03-31";"obj_30";NA
"2020-04-01";"obj_30";"17,1900000000000"
"2020-04-02";"obj_30";"17,2000000000000"
"2020-04-03";"obj_30";NA
"2020-04-04";"obj_30";NA
"2020-04-05";"obj_30";NA
"2020-04-06";"obj_30";"17,1650000000000"
"2020-04-07";"obj_30";NA
"2020-04-08";"obj_30";NA
"2020-04-09";"obj_30";NA
"2020-04-10";"obj_30";NA
"2020-04-11";"obj_30";NA
"2020-04-12";"obj_30";NA
"2020-04-13";"obj_30";NA
"2020-04-14";"obj_30";NA
"2020-04-15";"obj_30";"17,1000000000000"
"2020-04-16";"obj_30";NA
"2020-04-17";"obj_30";NA
"2020-04-18";"obj_30";NA
"2020-04-19";"obj_30";NA
"2020-04-20";"obj_30";"17,0100000000000"
"2020-04-21";"obj_30";NA
"2020-04-22";"obj_30";NA
"2020-04-23";"obj_30";NA
"2020-04-24";"obj_30";NA
"2020-04-25";"obj_30";NA
"2020-04-26";"obj_30";NA
"2020-04-27";"obj_30";NA
"2020-04-28";"obj_30";"16,9800000000000"
"2020-04-29";"obj_30";NA
"2020-04-30";"obj_30";NA
"2020-05-01";"obj_30";NA
"2020-05-02";"obj_30";NA
"2020-05-03";"obj_30";NA
"2020-05-04";"obj_30";"16,9800000000000"
"2020-05-05";"obj_30";NA
"2020-05-06";"obj_30";"16,9700000000000"
"2020-05-07";"obj_30";NA
"2020-05-08";"obj_30";NA
"2020-05-09";"obj_30";NA
"2020-05-10";"obj_30";NA
"2020-05-11";"obj_30";NA
"2020-05-12";"obj_30";NA
"2020-05-13";"obj_30";"16,9500000000000"
"2020-05-14";"obj_30";NA
"2020-05-15";"obj_30";NA
"2020-05-16";"obj_30";NA
"2020-05-17";"obj_30";NA
"2020-05-18";"obj_30";NA
"2020-05-19";"obj_30";"16,9100000000000"
"2020-05-20";"obj_30";NA
"2020-05-21";"obj_30";NA
"2020-05-22";"obj_30";NA
"2020-05-23";"obj_30";NA
"2020-05-24";"obj_30";NA
"2020-05-25";"obj_30";NA
"2020-05-26";"obj_30";NA
"2020-05-27";"obj_30";"16,8600000000000"
"2020-05-28";"obj_30";NA
"2020-05-29";"obj_30";NA
"2020-05-30";"obj_30";NA
"2020-05-31";"obj_30";NA
