,Penman,FAO-56,Priestley-Taylor,Kimberly-Penman,Thom-Oliver,Blaney-Criddle,Hamon,Romanenko,Linacre,Haude,Turc,Jensen-Haise,Mcguinness-Bordne,Hargreaves,FAO-24,Abtew,Makkink,Oudin
2016-04-28,0.6631265607520769,0.5021387221600463,0.8084511164461877,0.6512101334889852,0.4852177852387331,1.496244582413184,1.2829844690854977,0.12338087999999815,0.7019988437401896,0.07505503368874455,0.2803810882919298,0.2687164506333007,1.3635003957887306,1.1808447438569656,0.1872988882878236,1.1170174026325441,0.5920427986346528,0.9275512896521978
2016-04-29,2.06866965119161,1.8626268079549355,2.272849024818774,1.9346055843842522,1.6695909606866803,2.0977709461973983,1.6412512964014845,1.3663331099999998,1.3133994944989598,1.0518336030163236,1.6231283306005744,1.4696405903476546,2.1201117031716525,2.26938766521606,1.798253724515429,3.5007169118393566,2.1069371073031022,1.442252859300444
2016-04-30,2.3154335347208566,2.095475271560778,2.5456552748264554,2.1675861271858152,1.878971665392381,2.3028545490215633,1.7867721497084874,1.5765273000000004,1.5786165648654662,1.185569476406618,2.004691104997647,1.8302016124146614,2.377394952966023,2.3468738249820817,2.119301990531067,3.841611305266418,2.3979564143435566,1.617275478208179
2016-05-01,2.5480595885170487,2.6023711746000275,2.7190102761652652,2.2997016200083844,2.5812832854241967,2.603141722517705,2.018677315640632,3.1373433,2.133040297231673,2.5544354303728793,2.4061958395266947,2.2457129837489886,2.759820047792721,2.9558989821838453,2.537507101688438,4.000765987855341,2.6293821935868182,1.8774286039406263
2016-05-02,3.2774825025167225,3.5687350084415534,3.2872192701761507,2.912694924654475,3.2331763544561998,2.7810429790067595,2.170054592315198,4.37021988,2.331005030862172,3.6021269187313547,3.180742063500723,3.081814293932406,2.9866923005346253,3.0714927235476033,3.7522602653808352,5.064687056695116,3.4198929040635258,2.031763469751446
2016-05-03,3.196663478130308,3.6295187829432214,3.1418263147640024,2.803831439909896,3.343998986953207,3.196245960155875,2.5598230392377195,4.9977694800000005,2.9622492084187004,4.3061341244030835,3.1330056940986863,3.1474129388900933,3.525596125471137,3.452013077565388,3.367262428959589,4.332802227562985,3.115736420328689,2.3983647112048554
2016-05-04,3.6544297622185344,3.99086261069417,3.6798590055679186,3.2723256596955803,3.5638244888791437,3.188573104095912,2.553839077666658,4.728581280000002,3.017499837508124,4.143846531508512,3.6992178932952937,3.7617518482961585,3.5131048866973478,3.6381087041820885,4.135927589466498,5.246653893676221,3.754841784931357,2.3898672698621413
2016-05-05,3.9809403654037765,4.606565161414876,3.8293482356889066,3.4901923120125464,4.068583264940624,3.243924372265104,2.611510759127201,6.19790556,3.060221841554795,5.307011514068631,4.673773429862943,4.122207369788435,3.583246655991269,3.601680493579294,4.8362136725667115,5.674727028539923,4.080720224377795,2.437582759177734
2016-05-06,3.939675057858874,4.515157746144515,3.866850646338306,3.4587554748595073,4.1611801193588125,3.4909062863444547,2.8763701993316335,6.4357560000000005,3.420612523134094,5.584456840066782,4.672621809434583,4.357215710044595,3.907223158012555,3.7614937983979417,4.729255975943212,5.498391253151512,4.08431681889931,2.657974937423507
2016-05-07,4.144821164184209,4.728069563805832,4.090388131965131,3.6732001540958548,4.257740135428826,3.6436249866648858,3.051996655218245,6.186391200000001,3.6761984565090224,5.615405867855911,4.594061027998092,4.635699116337314,4.107910221914081,4.031824594116383,4.8483714955553445,5.583910299224491,4.221844296541187,2.7944967496014157
